state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2017-2018,LB1094,https://legiscan.com/NE/bill/LB1094/2018,NE LB1094 | 2017-2018 | 105th Legislature | LegiScan,Provide for financial literacy and entrepreneurship academic content standards
Nebraska,2017-2018,LB1095,https://legiscan.com/NE/bill/LB1095/2018,NE LB1095 | 2017-2018 | 105th Legislature | LegiScan,Change the information included in certain tax notices and receipts
Nebraska,2017-2018,LB1097,https://legiscan.com/NE/bill/LB1097/2018,NE LB1097 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to treasurer's tax deeds
Nebraska,2017-2018,LB1098,https://legiscan.com/NE/bill/LB1098/2018,NE LB1098 | 2017-2018 | 105th Legislature | LegiScan,Change dollar threshold for certain purchasing requirements under the County Purchasing Act
Nebraska,2017-2018,LB11,https://legiscan.com/NE/bill/LB11/2017,NE LB11 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to transfer of juvenile cases and appeal of such transfers
Nebraska,2017-2018,LB110,https://legiscan.com/NE/bill/LB110/2017,NE LB110 | 2017-2018 | 105th Legislature | LegiScan,Change duties and requirements relating to certain retirement plan reporting and change duties of the Auditor of Public Accounts and the Public Employees Retirement Board
Nebraska,2017-2018,LB1100,https://legiscan.com/NE/bill/LB1100/2018,NE LB1100 | 2017-2018 | 105th Legislature | LegiScan,Change the valuation of agricultural land and horticultural land
Nebraska,2017-2018,LB1101,https://legiscan.com/NE/bill/LB1101/2018,NE LB1101 | 2017-2018 | 105th Legislature | LegiScan,State intent relating to appropriations to behavioral health services providers
Nebraska,2017-2018,LB1102,https://legiscan.com/NE/bill/LB1102/2018,NE LB1102 | 2017-2018 | 105th Legislature | LegiScan,"Change provisions relating to distribution of taxes collected, license renewals and fees, and the tax on gross proceeds for county and city lotteries"
Nebraska,2017-2018,LB1103,https://legiscan.com/NE/bill/LB1103/2018,NE LB1103 | 2017-2018 | 105th Legislature | LegiScan,Provide a minimum amount of state aid for each school district
Nebraska,2017-2018,LB1104,https://legiscan.com/NE/bill/LB1104/2018,NE LB1104 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to the special valuation of agricultural or horticultural land
