Bill,assembly_number,category
HF 2011,88,
SSB 3060,88,
HF 2197,88,
HSB 610,88,
HSB 587,88,
SSB 3096,88,
HF 2115,88,
SF 2118,88,
SF 2119,88,
HSB 562,88,
HSB 559,88,
HSB 522,88,
SSB 3034,88,
SF 2017,88,
SF 2027,88,
SF 2071,88,
SSB 3013,88,
HF 2108,88,
HF 2054,88,
HF 2090,88,
HF 2152,88,
HF 2181,88,
HSB 613,88,
HSB 556,88,
HSB 571,88,
HSB 595,88,
HSB 612,88,
SF 2056,88,
SF 2088,88,
SSB 3064,88,
SSB 3071,88,
SSB 3075,88,
SSB 3081,88,
HF 2212,88,
SF 2132,88,
HF 2150,88,
HSB 576,88,
SF 2064,88,
SF 2067,88,
HF 2143,88,
HF 2145,88,
SF 2062,88,
HSB 515,88,
SF 2105,88,
SF 2116,88,
SF 2133,88,
HF 2196,88,
HSB 585,88,
HSB 546,88,
SSB 3049,88,
HF 2133,88,
HSB 525,88,
HF 2207,88,
SF 2047,88,
SF 2060,88,
HF 2182,88,
SF 2098,88,
HF 2170,88,
HSB 558,88,
SF 2036,88,
HF 2195,88,
SF 2124,88,
HF 2047,88,
SSB 3067,88,
HF 766,88,
SSB 3007,88,
SSB 3052,88,
SF 2122,88,
SSB 3099,88,
SSB 3101,88,
HSB 508,88,
SF 2126,88,
SF 562,88,
HF 2191,88,
SF 459,88,
HF 2172,88,
SF 2109,88,
SF 2029,88,
SF 2106,88,
SSB 3086,88,
HF 2113,88,
HF 2114,88,
SSB 3009,88,
SSB 3066,88,
HF 2098,88,
SF 2086,88,
HSB 537,88,
HSB 602,88,
HF 2177,88,
HF 2178,88,
HSB 569,88,
SF 2115,88,
HF 287,88,
HF 760,88,
HF 2104,88,
HF 2038,88,
HF 2049,88,
SSB 3097,88,
HF 2165,88,
HSB 604,88,
HSB 605,88,
SF 335,88,
HF 2001,88,
HF 2067,88,
HF 2037,88,
HF 2026,88,
HF 2066,88,
HF 2005,88,
SF 2033,88,
HSB 592,88,
HF 2033,88,
HF 2097,88,
SSB 3015,88,
HF 2123,88,
SF 622,88,
SF 2038,88,
HF 2020,88,
HF 2125,88,
HSB 578,88,
HF 2003,88,
SF 2090,88,
